"otu","kingdom","phylum","class","order","family","genus"
"Otu1706","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Salegentibacter"
"Otu1707","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella"
"Otu1708","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Apibacter"
"Otu1709","Bacteria","Cyanobacteria","","Nostocales","Microchaetaceae","Tolypothrix"
"Otu1710","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","Salinisphaera"
"Otu1711","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pusillimonas"
"Otu1712","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfuricurvum"
"Otu1713","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Chromobacterium"
"Otu1714","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Saprospiraceae","Saprospira"
"Otu1715","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"Otu1716","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Hamadaea"
"Otu1717","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dielma"
"Otu1718","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter"
"Otu1719","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Leminorella"
"Otu1720","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Zooshikella"
"Otu1721","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geoalkalibacter"
"Otu1722","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"Otu1723","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Hungatella"
"Otu1724","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","Sphaerotilus"
"Otu1725","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia"
"Otu1726","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Terribacillus"
"Otu1727","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tateyamaria"
"Otu1728","Bacteria","Actinobacteria","Actinobacteria","Glycomycetales","Glycomycetaceae","Haloglycomyces"
"Otu1729","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus"
"Otu1730","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema"
"Otu1731","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus"
