"otu","kingdom","phylum","class","order","family","genus"
"Otu0584","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","","Reyranella"
"Otu0585","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Belliella"
"Otu0586","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodovulum"
"Otu0587","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae","Halanaerobium"
"Otu0588","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinocatenispora"
"Otu0589","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Aestuariivita"
"Otu0590","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinosynnema"
"Otu0591","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronobacterium"
"Otu0592","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aliagarivorans"
"Otu0593","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Leadbetterella"
"Otu0594","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera"
"Otu0595","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Leptospirillum"
"Otu0596","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Sneathia"
"Otu0597","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter"
"Otu0598","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Providencia"
"Otu0599","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Maritalea"
"Otu0600","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"Otu0601","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Wenxinia"
"Otu0602","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Chelativorans"
"Otu0603","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Schleiferiaceae","Schleiferia"
"Otu0604","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pectobacterium"
"Otu0605","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Candidatus_Pelagibacter"
"Otu0606","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","Roseateles"
"Otu0607","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Otu0608","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"Otu0609","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfospira"
"Otu0610","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maribius"
"Otu0611","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Simonsiella"
"Otu0612","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Glutamicibacter"
"Otu0613","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Schlesneria"
"Otu0614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Fructobacillus"
"Otu0615","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","Oceanicaulis"
"Otu0616","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacterium"
"Otu0617","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus"
"Otu0618","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Sharpea"
"Otu0619","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Parachlamydiaceae","Parachlamydia"
"Otu0620","Bacteria","Thermodesulfobacteria","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermosulfurimonas"
"Otu0621","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Sodalis"
"Otu0622","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea"
"Otu0623","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylobacillus"
"Otu0624","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfohalobiaceae","Desulfohalobium"
"Otu0625","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Flammeovirga"
"Otu0626","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter"
"Otu0627","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Dehalobacter"
"Otu0628","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Otu0629","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter"
"Otu0630","Bacteria","Cyanobacteria","","Pleurocapsales","","Chroococcidiopsis"
"Otu0631","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Fermentimonas"
"Otu0632","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Silanimonas"
"Otu0633","Bacteria","Cyanobacteria","","Nostocales","Nostocaceae","Nostoc"
"Otu0634","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rhodonellum"
"Otu0635","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus"
"Otu0636","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Psychromonadaceae","Psychromonas"
"Otu0637","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Arenitalea"
"Otu0638","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Longispora"
"Otu0639","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Granulicoccus"
"Otu0640","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Ewingella"
"Otu0641","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Azohydromonas"
"Otu0642","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"Otu0643","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera"
"Otu0644","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas"
"Otu0645","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Ferrimonadaceae","Ferrimonas"
"Otu0646","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Otu0647","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Shimazuella"
"Otu0648","Bacteria","Cyanobacteria","","Stigonematales","","Fischerella"
"Otu0649","Bacteria","Cyanobacteria","","Pleurocapsales","","Aliterella"
"Otu0650","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Salinibacterium"
"Otu0651","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus"
"Otu0652","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Chitiniphilus"
"Otu0653","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planomicrobium"
"Otu0654","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax"
"Otu0655","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Intrasporangium"
"Otu0656","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Crenobacter"
"Otu0657","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"Otu0658","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","Henriciella"
"Otu0659","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"Otu0660","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia"
"Otu0661","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium"
"Otu0662","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Acaricomes"
"Otu0663","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Citreicella"
"Otu0664","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter"
"Otu0665","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Candidatus_Symbiobacter"
"Otu0666","Bacteria","Ignavibacteriae","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","Melioribacter"
"Otu0667","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ahrensia"
"Otu0668","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Oceanimonas"
"Otu0669","Bacteria","Firmicutes","Clostridia","Clostridiales","","Pseudoflavonifractor"
"Otu0670","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Domibacillus"
"Otu0671","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Rathayibacter"
"Otu0672","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","Rhizobacter"
"Otu0673","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter"
"Otu0674","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Allofustis"
"Otu0675","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium"
"Otu0676","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halobacteroidaceae","Acetohalobium"
"Otu0677","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanobacter"
"Otu0678","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"Otu0679","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","Porticoccus"
"Otu0680","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Diplosphaera"
"Otu0681","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buchnera"
"Otu0682","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Succinispira"
"Otu0683","Bacteria","Chlorobi","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobaculum"
"Otu0684","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinospirillum"
"Otu0685","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Streptobacillus"
"Otu0686","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanibulbus"
"Otu0687","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"Otu0688","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halorhabdus"
"Otu0689","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Thermonemataceae","Thermonema"
"Otu0690","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira"
"Otu0691","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0692","Bacteria","Caldiserica","Caldisericia","Caldisericales","Caldisericaceae","Caldisericum"
"Otu0693","Bacteria","Cyanobacteria","","Chroococcales","","Synechococcus"
"Otu0694","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","Aquabacterium"
"Otu0695","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Endozoicomonas"
"Otu0696","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseobacter"
"Otu0697","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora"
"Otu0698","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Joostella"
"Otu0699","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Thioalkalivibrio"
"Otu0700","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum"
"Otu0701","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomyces"
"Otu0702","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"Otu0703","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Sinobacteraceae","Solimonas"
"Otu0704","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Candidatus_Magnetobacterium"
"Otu0705","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Photorhabdus"
"Otu0706","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Ferroplasmaceae","Acidiplasma"
"Otu0707","Bacteria","Cyanobacteria","","Chroococcales","","Halothece"
"Otu0708","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Granulibacter"
"Otu0709","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Trabulsiella"
"Otu0710","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","Mitsuaria"
"Otu0711","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Woodsholea"
"Otu0712","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
"Otu0713","Bacteria","Deinococcus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"Otu0714","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Candidatus_Halobonum"
"Otu0715","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Arsenophonus"
"Otu0716","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Francisellaceae","Francisella"
"Otu0717","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella"
"Otu0718","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum"
"Otu0719","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas"
"Otu0720","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Desulfurococcus"
"Otu0721","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Herbiconiux"
"Otu0722","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Oblitimonas"
"Otu0723","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"Otu0724","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Agarivorans"
"Otu0725","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera"
"Otu0726","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Lentimicrobiaceae","Lentimicrobium"
"Otu0727","Bacteria","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae","Heliobacterium"
"Otu0728","Bacteria","Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Frischella"
"Otu0729","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia"
"Otu0730","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Thermogladius"
"Otu0731","Bacteria","Lentisphaerae","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera"
"Otu0732","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Nitratireductor"
"Otu0733","Bacteria","Proteobacteria","Zetaproteobacteria","Mariprofundales","Mariprofundaceae","Mariprofundus"
"Otu0734","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Yokenella"
"Otu0735","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gaetbulibacter"
"Otu0736","Bacteria","Firmicutes","Clostridia","Clostridiales","Symbiobacteriaceae","Symbiobacterium"
"Otu0737","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Histophilus"
"Otu0738","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Archangium"
"Otu0739","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Edaphobacter"
"Otu0740","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halosimplex"
"Otu0741","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Spirillospora"
"Otu0742","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","Paucibacter"
"Otu0743","Bacteria","Cyanobacteria","","Chroococcales","","Synechocystis"
"Otu0744","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Basilea"
"Otu0745","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Effusibacillus"
"Otu0746","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum"
"Otu0747","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Avibacterium"
"Otu0748","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Jeotgalibaca"
"Otu0749","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium"
"Otu0750","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Chitinibacter"
"Otu0751","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium"
"Otu0752","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia"
"Otu0753","Bacteria","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Thermithiobacillaceae","Thermithiobacillus"
"Otu0754","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Flavisolibacter"
"Otu0755","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Segniliparaceae","Segniliparus"
"Otu0756","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales_Family_III","Syntrophaceticus"
"Otu0757","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Anaerobaculum"
"Otu0758","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Fibrella"
"Otu0759","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Zunongwangia"
"Otu0760","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Kurthia"
"Otu0761","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gramella"
"Otu0762","Bacteria","Chloroflexi","Dehalococcoidia","","","Dehalogenimonas"
"Otu0763","Bacteria","Candidatus_Cloacimonetes","","","","Candidatus_Cloacimonas"
"Otu0764","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Anaerovibrio"
"Otu0765","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanolinea"
"Otu0766","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanolacinia"
"Otu0767","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Inquilinus"
"Otu0768","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Jonquetella"
"Otu0769","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Idiomarina"
"Otu0770","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanotorris"
"Otu0771","Bacteria","Cyanobacteria","","Pleurocapsales","","Myxosarcina"
"Otu0772","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Pseudogulbenkiania"
"Otu0773","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea"
"Otu0774","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea"
"Otu0775","Bacteria","Proteobacteria","Alphaproteobacteria","","","Thermopetrobacter"
"Otu0776","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Ferrimicrobium"
"Otu0777","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas"
"Otu0778","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Gallibacterium"
"Otu0779","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Thiomicrospira"
"Otu0780","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Gayadomonas"
"Otu0781","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Oceanibaculum"
"Otu0782","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiohalocapsa"
"Otu0783","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Terasakiella"
"Otu0784","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"Otu0785","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanohalophilus"
"Otu0786","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Eremococcus"
"Otu0787","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","","Tropheryma"
"Otu0788","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0789","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Acidihalobacter"
"Otu0790","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Ornithobacterium"
"Otu0791","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Halocynthiibacter"
"Otu0792","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus_Nitrosocosmicus"
"Otu0793","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus"
"Otu0794","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buttiauxella"
"Otu0795","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Candidatus_Hamiltonella"
"Otu0796","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pseudacidovorax"
"Otu0797","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Moorella"
"Otu0798","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylomarinum"
"Otu0799","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronorubrum"
"Otu0800","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloferax"
"Otu0801","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Family_X","Thermicanus"
"Otu0802","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Thermosipho"
"Otu0803","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","Maricaulis"
"Otu0804","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Candidatus_Riesia"
"Otu0805","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter"
"Otu0806","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola"
"Otu0807","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Arsukibacterium"
"Otu0808","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseibium"
"Otu0809","Bacteria","Proteobacteria","Gammaproteobacteria","","","Gallaecimonas"
"Otu0810","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum"
"Otu0811","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pluralibacter"
"Otu0812","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter"
"Otu0813","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium"
"Otu0814","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Viridibacillus"
"Otu0815","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptacidiphilus"
"Otu0816","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Chloroflexus"
"Otu0817","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Persephonella"
"Otu0818","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Teredinibacter"
"Otu0819","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Candidatus_Stoquefichus"
"Otu0820","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Robinsoniella"
"Otu0821","Bacteria","Proteobacteria","Deltaproteobacteria","","","Deferrisoma"
"Otu0822","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Ktedonobacter"
"Otu0823","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus"
"Otu0824","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Aureimonas"
"Otu0825","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella"
"Otu0826","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0827","Bacteria","Chrysiogenetes","Chrysiogenetes","Chrysiogenales","Chrysiogenaceae","Desulfurispirillum"
"Otu0828","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Nocardiopsaceae","Streptomonospora"
"Otu0829","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudobacteroides"
"Otu0830","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanothermococcus"
